dataset_label,file_family,field_pair,flag,definition,numerator,denominator,rate,status
LOCAL_DIR_025,TRAIN_EN_TO_KO,ko + en,missing_KO,KO is null,0,1200307,0.0,SOFT_FLAG_ONLY
LOCAL_DIR_025,TRAIN_EN_TO_KO,ko + en,missing_EN,EN is null,0,1200307,0.0,SOFT_FLAG_ONLY
LOCAL_DIR_025,TRAIN_EN_TO_KO,ko + en,empty_KO,KO empty or whitespace,0,1200307,0.0,SOFT_FLAG_ONLY
LOCAL_DIR_025,TRAIN_EN_TO_KO,ko + en,empty_EN,EN empty or whitespace,0,1200307,0.0,SOFT_FLAG_ONLY
LOCAL_DIR_025,TRAIN_EN_TO_KO,ko + en,language_mismatch,KO Hangul or EN Latin dominance below 0.5,1141,1200307,0.0009505901406890071,SOFT_FLAG_ONLY
LOCAL_DIR_025,TRAIN_EN_TO_KO,ko + en,high_digit_ratio_KO,KO digit ratio >0.20,5756,1200307,0.004795439833309312,SOFT_FLAG_ONLY
LOCAL_DIR_025,TRAIN_EN_TO_KO,ko + en,high_digit_ratio_EN,EN digit ratio >0.20,407,1200307,0.00033907991872079394,SOFT_FLAG_ONLY
LOCAL_DIR_025,TRAIN_EN_TO_KO,ko + en,high_punctuation_ratio_KO,KO punctuation ratio >0.20,2255,1200307,0.0018786860361557501,SOFT_FLAG_ONLY
LOCAL_DIR_025,TRAIN_EN_TO_KO,ko + en,high_punctuation_ratio_EN,EN punctuation ratio >0.20,19,1200307,1.58292836749265e-05,SOFT_FLAG_ONLY
LOCAL_DIR_025,TRAIN_EN_TO_KO,ko + en,extreme_codepoint_length_ratio,KO/EN codepoint ratio <0.20 or >5.00,1493,1200307,0.001243848448771856,SOFT_FLAG_ONLY
LOCAL_DIR_025,TRAIN_EN_TO_KO,ko + en,extreme_byte_length_ratio,KO/EN byte ratio <0.20 or >5.00,15,1200307,1.2496802901257761e-05,SOFT_FLAG_ONLY
LOCAL_DIR_025,TRAIN_EN_TO_KO,ko + en,duplicate_candidate_pair,salted within-run KO+EN hash repeated,10240,1200307,0.008531150780591966,SOFT_FLAG_ONLY
LOCAL_DIR_025,TRAIN_EN_TO_KO,ko + en,one_to_many_indicator,distinct KO hashes linked to multiple EN hashes,8324,1200307,0.006934892490004641,SOFT_FLAG_ONLY
LOCAL_DIR_025,TRAIN_EN_TO_KO,ko + en,many_to_one_indicator,distinct EN hashes linked to multiple KO hashes,6852,1200307,0.005708539565294546,SOFT_FLAG_ONLY
