relative_path,sha256,format,logical_corpus,direction,split,canonical_ingest_role,alias_status,alias_of,record_count
"025.일상생활 및 구어체 한-영 번역 병렬 말뭉치 데이터/01.데이터/1.Training/라벨링데이터/TL1/일상생활및구어체_영한_train_set.json",922fa5e307d80436644f63ec180be387dc4b3c63b5ffaf86b43f0f834515c0f1,JSON,025,EN_TO_KO,TRAIN,025_EN_TO_KO_TRAIN,CANONICAL,,1200307
"025.일상생활 및 구어체 한-영 번역 병렬 말뭉치 데이터/01.데이터/1.Training/라벨링데이터/TL2/일상생활및구어체_한영_train_set.json",5e0fdf49b5c7b3b1ca89b4e9c7b6d16c91f23b6a51e555ca7e92a89e82e45c67,JSON,025,KO_TO_EN,TRAIN,025_KO_TO_EN_TRAIN,CANONICAL,,1200000
"025.일상생활 및 구어체 한-영 번역 병렬 말뭉치 데이터/01.데이터/1.Training/원천데이터/TS1/일상생활및구어체_영한_train_set.json",922fa5e307d80436644f63ec180be387dc4b3c63b5ffaf86b43f0f834515c0f1,JSON,025,EN_TO_KO,TRAIN,DUPLICATE_PHYSICAL_COPY_SKIP,BYTE_IDENTICAL_ALIAS,"025.일상생활 및 구어체 한-영 번역 병렬 말뭉치 데이터/01.데이터/1.Training/라벨링데이터/TL1/일상생활및구어체_영한_train_set.json",
"025.일상생활 및 구어체 한-영 번역 병렬 말뭉치 데이터/01.데이터/1.Training/원천데이터/TS2/일상생활및구어체_한영_train_set.json",5e0fdf49b5c7b3b1ca89b4e9c7b6d16c91f23b6a51e555ca7e92a89e82e45c67,JSON,025,KO_TO_EN,TRAIN,DUPLICATE_PHYSICAL_COPY_SKIP,BYTE_IDENTICAL_ALIAS,"025.일상생활 및 구어체 한-영 번역 병렬 말뭉치 데이터/01.데이터/1.Training/라벨링데이터/TL2/일상생활및구어체_한영_train_set.json",
"025.일상생활 및 구어체 한-영 번역 병렬 말뭉치 데이터/01.데이터/2.Validation/라벨링데이터/VL1/일상생활및구어체_영한_valid_set.json",ca574c2d5c14efd8513ed95a6a950ffe14896b1cfc1ada77db7f8fd5f4358c3c,JSON,025,EN_TO_KO,VALIDATION,025_EN_TO_KO_VALIDATION,CANONICAL,,150038
"025.일상생활 및 구어체 한-영 번역 병렬 말뭉치 데이터/01.데이터/2.Validation/라벨링데이터/VL1/일상생활및구어체_한영_valid_set.json",02dce9c0cc9c6da6ef088b410715b0397d667f349ad05df9ce8be91aacd6a1cc,JSON,025,KO_TO_EN,VALIDATION,025_KO_TO_EN_VALIDATION,CANONICAL,,150000
"025.일상생활 및 구어체 한-영 번역 병렬 말뭉치 데이터/01.데이터/2.Validation/원천데이터/VS1.zip",f7cd73e0be354dfa554cf7ca8ae1b30148d459a5d9b7205420a3ab8814c45efc,ZIP,025,UNKNOWN,VALIDATION,ARCHIVE_CONTAINER_DO_NOT_EXTRACT,ARCHIVE_CONTAINER_ALIAS,,
"025.일상생활 및 구어체 한-영 번역 병렬 말뭉치 데이터/01.데이터/2.Validation/원천데이터/VS1/일상생활및구어체_영한_valid_set.json",ca574c2d5c14efd8513ed95a6a950ffe14896b1cfc1ada77db7f8fd5f4358c3c,JSON,025,EN_TO_KO,VALIDATION,DUPLICATE_PHYSICAL_COPY_SKIP,BYTE_IDENTICAL_ALIAS,"025.일상생활 및 구어체 한-영 번역 병렬 말뭉치 데이터/01.데이터/2.Validation/라벨링데이터/VL1/일상생활및구어체_영한_valid_set.json",
"025.일상생활 및 구어체 한-영 번역 병렬 말뭉치 데이터/01.데이터/2.Validation/원천데이터/VS1/일상생활및구어체_한영_valid_set.json",02dce9c0cc9c6da6ef088b410715b0397d667f349ad05df9ce8be91aacd6a1cc,JSON,025,KO_TO_EN,VALIDATION,DUPLICATE_PHYSICAL_COPY_SKIP,BYTE_IDENTICAL_ALIAS,"025.일상생활 및 구어체 한-영 번역 병렬 말뭉치 데이터/01.데이터/2.Validation/라벨링데이터/VL1/일상생활및구어체_한영_valid_set.json",
"026.기술과학 분야 한-영 번역 병렬 말뭉치 데이터/01.데이터/1.Training/라벨링데이터/TL1/기술과학분야_한영_train_set.json",b08ea5e620cc25d23e4cd263d0146e64f1673de04d1d865c082ff89938b97880,JSON,026,KO_TO_EN,TRAIN,026_KO_TO_EN_TRAIN,CANONICAL,,1200144
